State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Banana,360,5517
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year,Coconut,3540,11000000
Andhra Pradesh,ANANTAPUR,1997,Kharif,Maize,2800,4900
Andhra Pradesh,ANANTAPUR,1997,Kharif,Rice,35600,75400
Andhra Pradesh,ANANTAPUR,1997,Rabi,Maize,600,2400
Andhra Pradesh,ANANTAPUR,1997,Rabi,Rice,18000,37300
Andhra Pradesh,ANANTAPUR,1998,Kharif,Maize,3300,6700
Andhra Pradesh,ANANTAPUR,1998,Kharif,Rice,38300,96800
Andhra Pradesh,ANANTAPUR,1998,Rabi,Maize,300,1600
Andhra Pradesh,ANANTAPUR,1998,Rabi,Rice,26600,63900
Andhra Pradesh,ANANTAPUR,1999,Kharif,Maize,3358,9540
Andhra Pradesh,ANANTAPUR,1999,Kharif,Rice,37991,105082
Andhra Pradesh,ANANTAPUR,1999,Rabi,Maize,455,2203
Andhra Pradesh,ANANTAPUR,1999,Rabi,Rice,20258,45669
Andhra Pradesh,ANANTAPUR,2000,Kharif,Maize,3475,9049
Andhra Pradesh,ANANTAPUR,2000,Kharif,Rice,39905,117680
Andhra Pradesh,ANANTAPUR,2000,Rabi,Maize,399,2148
Andhra Pradesh,ANANTAPUR,2000,Rabi,Rice,22099,57236
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Banana,769,11693
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Coconut,908,3896970
Andhra Pradesh,ANANTAPUR,2001,Kharif,Maize,2667,7129
Andhra Pradesh,ANANTAPUR,2001,Kharif,Rice,32878,95609
Andhra Pradesh,ANANTAPUR,2001,Rabi,Maize,447,2893
Andhra Pradesh,ANANTAPUR,2001,Rabi,Rice,38119,108906
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Banana,1582,462
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Coconut,851,3053700
Andhra Pradesh,ANANTAPUR,2002,Kharif,Maize,3541,3431
Andhra Pradesh,ANANTAPUR,2002,Kharif,Rice,29066,66329
Andhra Pradesh,ANANTAPUR,2002,Rabi,Maize,1288,8933
Andhra Pradesh,ANANTAPUR,2002,Rabi,Rice,10960,20462
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Banana,19,1006
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Coconut,869,3691149
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Grapes,111,2075
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Mango,3968,26176
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Orange,13767,112541
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Papaya,1544,201409
Andhra Pradesh,ANANTAPUR,2003,Kharif,Maize,6246,10718
Andhra Pradesh,ANANTAPUR,2003,Kharif,Rice,17515,44891
Andhra Pradesh,ANANTAPUR,2003,Rabi,Maize,1212,6787
Andhra Pradesh,ANANTAPUR,2003,Rabi,Rice,10826,25463
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Banana,36,1302
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Coconut,839,3285828
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Grapes,118,2048
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Mango,3935,58337
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Orange,13441,224640
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Papaya,1381,60038
Andhra Pradesh,ANANTAPUR,2004,Kharif,Maize,3495,10031
Andhra Pradesh,ANANTAPUR,2004,Kharif,Rice,24335,85051
Andhra Pradesh,ANANTAPUR,2004,Rabi,Maize,3572,25822
Andhra Pradesh,ANANTAPUR,2004,Rabi,Rice,9240,21622
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Banana,324,16897
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Coconut,837,6413350
Andhra Pradesh,ANANTAPUR,2005,Kharif,Maize,5958,21538
Andhra Pradesh,ANANTAPUR,2005,Kharif,Rice,25008,69972
Andhra Pradesh,ANANTAPUR,2005,Rabi,Maize,1435,10721
Andhra Pradesh,ANANTAPUR,2005,Rabi,Rice,23142,55587
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Banana,303,16231
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Coconut,836,3358992
Andhra Pradesh,ANANTAPUR,2006,Kharif,Maize,4877,20181
Andhra Pradesh,ANANTAPUR,2006,Kharif,Rice,22349,67427
Andhra Pradesh,ANANTAPUR,2006,Rabi,Maize,3120,23640
Andhra Pradesh,ANANTAPUR,2006,Rabi,Rice,10846,31974
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Banana,289,14141
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Coconut,790,6404076
Andhra Pradesh,ANANTAPUR,2007,Kharif,Maize,7000,32000
Andhra Pradesh,ANANTAPUR,2007,Kharif,Rice,30000,95000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Maize,6000,48000
Andhra Pradesh,ANANTAPUR,2007,Rabi,Rice,14000,37000
Andhra Pradesh,ANANTAPUR,2008,Kharif,Maize,6041,20896
Andhra Pradesh,ANANTAPUR,2008,Kharif,Rice,30306,94615
Andhra Pradesh,ANANTAPUR,2008,Rabi,Maize,3658,32300
Andhra Pradesh,ANANTAPUR,2008,Rabi,Rice,18416,49815
Andhra Pradesh,ANANTAPUR,2008,Whole Year,Banana,3603,160939
Andhra Pradesh,ANANTAPUR,2008,Whole Year,Coconut,786,7141464
Andhra Pradesh,ANANTAPUR,2009,Kharif,Maize,8852,43924
Andhra Pradesh,ANANTAPUR,2009,Kharif,Rice,32226,101512
Andhra Pradesh,ANANTAPUR,2009,Rabi,Maize,4615,33736
Andhra Pradesh,ANANTAPUR,2009,Rabi,Rice,19428,46899
Andhra Pradesh,ANANTAPUR,2009,Whole Year,Banana,5010,265981
Andhra Pradesh,ANANTAPUR,2009,Whole Year,Coconut,725,4247685
Andhra Pradesh,ANANTAPUR,2010,Kharif,Maize,10726,51174
Andhra Pradesh,ANANTAPUR,2010,Kharif,Rice,34973,102007
Andhra Pradesh,ANANTAPUR,2010,Rabi,Maize,4750,43306
Andhra Pradesh,ANANTAPUR,2010,Rabi,Rice,24828,69394
Andhra Pradesh,ANANTAPUR,2010,Whole Year,Banana,4416,223825
Andhra Pradesh,ANANTAPUR,2011,Kharif,Maize,25447,63465
Andhra Pradesh,ANANTAPUR,2011,Kharif,Rice,37720,94531
Andhra Pradesh,ANANTAPUR,2011,Rabi,Maize,6208,48168
Andhra Pradesh,ANANTAPUR,2011,Rabi,Rice,10948,25542
Andhra Pradesh,ANANTAPUR,2011,Whole Year,Banana,8000,505176
Andhra Pradesh,ANANTAPUR,2011,Whole Year,Coconut,895,7165320
Andhra Pradesh,ANANTAPUR,2012,Kharif,Grapes,238,7606
Andhra Pradesh,ANANTAPUR,2012,Kharif,Maize,22039,63516
Andhra Pradesh,ANANTAPUR,2012,Kharif,Mango,6276,57601
Andhra Pradesh,ANANTAPUR,2012,Kharif,Papaya,447,17197
Andhra Pradesh,ANANTAPUR,2012,Kharif,Rice,22056,58691
Andhra Pradesh,ANANTAPUR,2012,Rabi,Maize,7070,50098
Andhra Pradesh,ANANTAPUR,2012,Rabi,Rice,6998,17768
Andhra Pradesh,ANANTAPUR,2012,Whole Year,Coconut,646,5571000
Andhra Pradesh,ANANTAPUR,2013,Kharif,Grapes,247,5644
Andhra Pradesh,ANANTAPUR,2013,Kharif,Maize,27087,53226
Andhra Pradesh,ANANTAPUR,2013,Kharif,Mango,8711,74653
Andhra Pradesh,ANANTAPUR,2013,Kharif,Papaya,230,22418
Andhra Pradesh,ANANTAPUR,2013,Kharif,Rice,28114,59377
Andhra Pradesh,ANANTAPUR,2013,Rabi,Maize,7777,57970
Andhra Pradesh,ANANTAPUR,2013,Rabi,Rice,12283,28558
Andhra Pradesh,ANANTAPUR,2013,Whole Year,Banana,8661,483881
Andhra Pradesh,ANANTAPUR,2013,Whole Year,Coconut,552,3969000
Andhra Pradesh,ANANTAPUR,2014,Kharif,Grapes,309,6886
Andhra Pradesh,ANANTAPUR,2014,Kharif,Maize,16839,42687
Andhra Pradesh,ANANTAPUR,2014,Kharif,Mango,11278,70939
Andhra Pradesh,ANANTAPUR,2014,Kharif,Papaya,374,29443
Andhra Pradesh,ANANTAPUR,2014,Kharif,Rice,22658,68155
Andhra Pradesh,ANANTAPUR,2014,Rabi,Maize,4474,31618
Andhra Pradesh,ANANTAPUR,2014,Rabi,Rice,6553,14377
Andhra Pradesh,ANANTAPUR,2014,Whole Year,Coconut,687,5756000
Andhra Pradesh,ANANTAPUR,2014,Whole Year,Rice,29211,82532
Andhra Pradesh,CHITTOOR,1997,Kharif,Maize,100,300
Andhra Pradesh,CHITTOOR,1997,Kharif,Rice,42300,84400
Andhra Pradesh,CHITTOOR,1997,Rabi,Rice,57400,137400
Andhra Pradesh,CHITTOOR,1998,Kharif,Maize,100,300
Andhra Pradesh,CHITTOOR,1998,Kharif,Rice,42000,105400
Andhra Pradesh,CHITTOOR,1998,Rabi,Maize,100,300
Andhra Pradesh,CHITTOOR,1998,Rabi,Rice,62400,159200
Andhra Pradesh,CHITTOOR,1999,Kharif,Maize,181,514
Andhra Pradesh,CHITTOOR,1999,Kharif,Rice,37542,75477
Andhra Pradesh,CHITTOOR,1999,Rabi,Maize,67,324
Andhra Pradesh,CHITTOOR,1999,Rabi,Rice,37489,76800
Andhra Pradesh,CHITTOOR,2000,Kharif,Maize,357,930
Andhra Pradesh,CHITTOOR,2000,Kharif,Rice,33776,89236
Andhra Pradesh,CHITTOOR,2000,Rabi,Maize,56,302
Andhra Pradesh,CHITTOOR,2000,Rabi,Rice,41442,97181
Andhra Pradesh,CHITTOOR,2000,Whole Year,Banana,953,19033
Andhra Pradesh,CHITTOOR,2000,Whole Year,Coconut,4011,17215660
Andhra Pradesh,CHITTOOR,2001,Kharif,Maize,294,786
Andhra Pradesh,CHITTOOR,2001,Kharif,Rice,24377,55311
Andhra Pradesh,CHITTOOR,2001,Rabi,Maize,81,524
Andhra Pradesh,CHITTOOR,2001,Rabi,Rice,62049,170573
Andhra Pradesh,CHITTOOR,2001,Whole Year,Banana,1005,7156
Andhra Pradesh,CHITTOOR,2001,Whole Year,Coconut,4133,14827800
Andhra Pradesh,CHITTOOR,2002,Kharif,Maize,261,253
Andhra Pradesh,CHITTOOR,2002,Kharif,Rice,20137,50020
Andhra Pradesh,CHITTOOR,2002,Rabi,Maize,284,1968
Andhra Pradesh,CHITTOOR,2002,Rabi,Rice,30034,76827
Andhra Pradesh,CHITTOOR,2002,Whole Year,Banana,960,50841
Andhra Pradesh,CHITTOOR,2002,Whole Year,Coconut,4296,17209269
Andhra Pradesh,CHITTOOR,2002,Whole Year,Grapes,36,673
Andhra Pradesh,CHITTOOR,2002,Whole Year,Mango,47834,335015
Andhra Pradesh,CHITTOOR,2002,Whole Year,Orange,4,39
Andhra Pradesh,CHITTOOR,2002,Whole Year,Papaya,39,5087
Andhra Pradesh,CHITTOOR,2003,Kharif,Maize,742,1273
Andhra Pradesh,CHITTOOR,2003,Kharif,Rice,18495,38562
Andhra Pradesh,CHITTOOR,2003,Rabi,Maize,392,2195
Andhra Pradesh,CHITTOOR,2003,Rabi,Rice,27286,46714
Andhra Pradesh,CHITTOOR,2003,Whole Year,Banana,587,21222
Andhra Pradesh,CHITTOOR,2003,Whole Year,Coconut,4294,16827552
Andhra Pradesh,CHITTOOR,2003,Whole Year,Grapes,32,555
Andhra Pradesh,CHITTOOR,2003,Whole Year,Mango,48572,234579
Andhra Pradesh,CHITTOOR,2003,Whole Year,Orange,6,96
Andhra Pradesh,CHITTOOR,2003,Whole Year,Papaya,17,1544
Andhra Pradesh,CHITTOOR,2004,Kharif,Maize,509,1461
Andhra Pradesh,CHITTOOR,2004,Kharif,Rice,19055,43331
Andhra Pradesh,CHITTOOR,2004,Rabi,Maize,354,2559
Andhra Pradesh,CHITTOOR,2004,Rabi,Rice,25822,69177
Andhra Pradesh,CHITTOOR,2004,Whole Year,Banana,586,30560
Andhra Pradesh,CHITTOOR,2004,Whole Year,Coconut,4165,31934060
Andhra Pradesh,CHITTOOR,2005,Kharif,Maize,417,2150
Andhra Pradesh,CHITTOOR,2005,Kharif,Rice,16240,37173
Andhra Pradesh,CHITTOOR,2005,Rabi,Maize,356,2660
Andhra Pradesh,CHITTOOR,2005,Rabi,Rice,66351,193612
Andhra Pradesh,CHITTOOR,2005,Whole Year,Banana,468,25070
Andhra Pradesh,CHITTOOR,2005,Whole Year,Coconut,3914,15729168
Andhra Pradesh,CHITTOOR,2006,Kharif,Maize,386,1378
Andhra Pradesh,CHITTOOR,2006,Kharif,Rice,17049,42520
Andhra Pradesh,CHITTOOR,2006,Rabi,Maize,788,5971
Andhra Pradesh,CHITTOOR,2006,Rabi,Rice,29164,85101
Andhra Pradesh,CHITTOOR,2006,Whole Year,Banana,556,27205
Andhra Pradesh,CHITTOOR,2006,Whole Year,Coconut,4307,34924554
Andhra Pradesh,CHITTOOR,2007,Kharif,Maize,1000,3000
Andhra Pradesh,CHITTOOR,2007,Kharif,Rice,15000,42000
Andhra Pradesh,CHITTOOR,2007,Rabi,Maize,1000,4000
Andhra Pradesh,CHITTOOR,2007,Rabi,Rice,37000,116000
Andhra Pradesh,CHITTOOR,2008,Kharif,Maize,843,3937
Andhra Pradesh,CHITTOOR,2008,Kharif,Rice,17596,46242
Andhra Pradesh,CHITTOOR,2008,Rabi,Maize,957,8450
Andhra Pradesh,CHITTOOR,2008,Rabi,Rice,37927,118636
Andhra Pradesh,CHITTOOR,2008,Whole Year,Banana,708,22390
Andhra Pradesh,CHITTOOR,2008,Whole Year,Coconut,3915,35594856
Andhra Pradesh,CHITTOOR,2009,Kharif,Maize,1326,4915
Andhra Pradesh,CHITTOOR,2009,Kharif,Rice,19758,56192
Andhra Pradesh,CHITTOOR,2009,Rabi,Maize,611,4466
Andhra Pradesh,CHITTOOR,2009,Rabi,Rice,35155,113937
Andhra Pradesh,CHITTOOR,2009,Whole Year,Banana,769,40826
Andhra Pradesh,CHITTOOR,2009,Whole Year,Coconut,3893,22798170
Andhra Pradesh,CHITTOOR,2010,Kharif,Maize,970,4969
Andhra Pradesh,CHITTOOR,2010,Kharif,Rice,18019,53639
Andhra Pradesh,CHITTOOR,2010,Rabi,Maize,539,4914
Andhra Pradesh,CHITTOOR,2010,Rabi,Rice,43558,131502
Andhra Pradesh,CHITTOOR,2010,Whole Year,Banana,923,46782
Andhra Pradesh,CHITTOOR,2011,Kharif,Maize,930,3084
Andhra Pradesh,CHITTOOR,2011,Kharif,Rice,17342,55719
Andhra Pradesh,CHITTOOR,2011,Rabi,Maize,877,6805
Andhra Pradesh,CHITTOOR,2011,Rabi,Rice,33764,113211
Andhra Pradesh,CHITTOOR,2011,Whole Year,Banana,886,55948
Andhra Pradesh,CHITTOOR,2011,Whole Year,Coconut,3663,29376960
Andhra Pradesh,CHITTOOR,2012,Kharif,Grapes,30,546
Andhra Pradesh,CHITTOOR,2012,Kharif,Maize,1078,4375
Andhra Pradesh,CHITTOOR,2012,Kharif,Mango,56760,502212
Andhra Pradesh,CHITTOOR,2012,Kharif,Papaya,558,60785
Andhra Pradesh,CHITTOOR,2012,Kharif,Rice,12952,45241
Andhra Pradesh,CHITTOOR,2012,Rabi,Maize,547,3876
Andhra Pradesh,CHITTOOR,2012,Rabi,Rice,34557,126168
Andhra Pradesh,CHITTOOR,2012,Whole Year,Coconut,3351,28899000
Andhra Pradesh,CHITTOOR,2013,Kharif,Grapes,23,417
Andhra Pradesh,CHITTOOR,2013,Kharif,Maize,1905,7683
Andhra Pradesh,CHITTOOR,2013,Kharif,Mango,66615,588344
Andhra Pradesh,CHITTOOR,2013,Kharif,Papaya,526,13845
Andhra Pradesh,CHITTOOR,2013,Kharif,Rice,15206,48766
Andhra Pradesh,CHITTOOR,2013,Rabi,Maize,1303,9713
Andhra Pradesh,CHITTOOR,2013,Rabi,Rice,34654,120249
Andhra Pradesh,CHITTOOR,2013,Whole Year,Banana,910,50203
Andhra Pradesh,CHITTOOR,2013,Whole Year,Coconut,2760,19847000
Andhra Pradesh,CHITTOOR,2014,Kharif,Grapes,32,932
Andhra Pradesh,CHITTOOR,2014,Kharif,Maize,2693,8820
Andhra Pradesh,CHITTOOR,2014,Kharif,Mango,64633,462384
Andhra Pradesh,CHITTOOR,2014,Kharif,Papaya,519,13790
Andhra Pradesh,CHITTOOR,2014,Kharif,Rice,13304,44462
Andhra Pradesh,CHITTOOR,2014,Rabi,Maize,984,6429
Andhra Pradesh,CHITTOOR,2014,Rabi,Rice,27661,87962
Andhra Pradesh,CHITTOOR,2014,Whole Year,Coconut,3465,29033000
Andhra Pradesh,CHITTOOR,2014,Whole Year,Rice,40965,132424
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Maize,1600,2900
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Rice,214100,429300
Andhra Pradesh,EAST GODAVARI,1997,Rabi,Maize,3600,13700
Andhra Pradesh,EAST GODAVARI,1997,Rabi,Rice,154400,491500
Andhra Pradesh,EAST GODAVARI,1998,Kharif,Maize,1700,3600
Andhra Pradesh,EAST GODAVARI,1998,Kharif,Rice,256300,386600
Andhra Pradesh,EAST GODAVARI,1998,Rabi,Maize,3800,18700
Andhra Pradesh,EAST GODAVARI,1998,Rabi,Rice,157600,656600
Andhra Pradesh,EAST GODAVARI,1999,Kharif,Maize,1522,4324
Andhra Pradesh,EAST GODAVARI,1999,Kharif,Rice,244655,628606
Andhra Pradesh,EAST GODAVARI,1999,Rabi,Maize,4266,20652
Andhra Pradesh,EAST GODAVARI,1999,Rabi,Rice,161551,645162
Andhra Pradesh,EAST GODAVARI,2000,Kharif,Maize,1406,3661
Andhra Pradesh,EAST GODAVARI,2000,Kharif,Rice,253966,683423
Andhra Pradesh,EAST GODAVARI,2000,Rabi,Maize,4108,22117
Andhra Pradesh,EAST GODAVARI,2000,Rabi,Rice,162861,683202
Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Banana,11043,124386
Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Coconut,48237,588584535
Andhra Pradesh,EAST GODAVARI,2001,Kharif,Maize,1204,3218
Andhra Pradesh,EAST GODAVARI,2001,Kharif,Rice,220811,579850
Andhra Pradesh,EAST GODAVARI,2001,Rabi,Maize,2597,16810
Andhra Pradesh,EAST GODAVARI,2001,Rabi,Rice,165779,750150
Andhra Pradesh,EAST GODAVARI,2001,Whole Year,Banana,10258,122822
Andhra Pradesh,EAST GODAVARI,2001,Whole Year,Coconut,48515,629772990
Andhra Pradesh,EAST GODAVARI,2002,Kharif,Maize,1423,1379
Andhra Pradesh,EAST GODAVARI,2002,Kharif,Rice,194809,551115
Andhra Pradesh,EAST GODAVARI,2002,Rabi,Maize,5975,41407
Andhra Pradesh,EAST GODAVARI,2002,Rabi,Rice,106427,491906
Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Banana,7949,116270
Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Coconut,49479,685943720
Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Mango,18957,92583
Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Orange,975,17315
Andhra Pradesh,EAST GODAVARI,2002,Whole Year,Papaya,11,1435
Andhra Pradesh,EAST GODAVARI,2003,Kharif,Maize,2116,3631
Andhra Pradesh,EAST GODAVARI,2003,Kharif,Rice,234673,762453
Andhra Pradesh,EAST GODAVARI,2003,Rabi,Maize,6392,35795
Andhra Pradesh,EAST GODAVARI,2003,Rabi,Rice,165321,869092
Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Banana,9547,67488
Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Coconut,48854,683171460
Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Mango,19181,47363
Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Orange,1015,15401
Andhra Pradesh,EAST GODAVARI,2003,Whole Year,Papaya,31,2815
Andhra Pradesh,EAST GODAVARI,2004,Kharif,Maize,1881,5556
Andhra Pradesh,EAST GODAVARI,2004,Kharif,Rice,224521,743614
Andhra Pradesh,EAST GODAVARI,2004,Rabi,Maize,6094,41080
Andhra Pradesh,EAST GODAVARI,2004,Rabi,Rice,162903,766296
Andhra Pradesh,EAST GODAVARI,2004,Whole Year,Banana,10324,96684
Andhra Pradesh,EAST GODAVARI,2004,Whole Year,Coconut,49381,674125653
Andhra Pradesh,EAST GODAVARI,2005,Kharif,Maize,1763,6308
Andhra Pradesh,EAST GODAVARI,2005,Kharif,Rice,217411,348727
Andhra Pradesh,EAST GODAVARI,2005,Rabi,Maize,7838,59349
Andhra Pradesh,EAST GODAVARI,2005,Rabi,Rice,170012,800927
Andhra Pradesh,EAST GODAVARI,2005,Whole Year,Banana,15432,215971
Andhra Pradesh,EAST GODAVARI,2005,Whole Year,Coconut,49692,369060890
Andhra Pradesh,EAST GODAVARI,2006,Kharif,Maize,1735,4757
Andhra Pradesh,EAST GODAVARI,2006,Kharif,Rice,227930,547716
Andhra Pradesh,EAST GODAVARI,2006,Rabi,Maize,6191,61867
Andhra Pradesh,EAST GODAVARI,2006,Rabi,Rice,168963,845829
Andhra Pradesh,EAST GODAVARI,2006,Whole Year,Banana,16772,295690
Andhra Pradesh,EAST GODAVARI,2006,Whole Year,Coconut,49592,613037376
Andhra Pradesh,EAST GODAVARI,2007,Kharif,Maize,2000,6000
Andhra Pradesh,EAST GODAVARI,2007,Kharif,Rice,242000,715000
Andhra Pradesh,EAST GODAVARI,2007,Rabi,Maize,6000,49000
Andhra Pradesh,EAST GODAVARI,2007,Rabi,Rice,169000,803000
Andhra Pradesh,EAST GODAVARI,2008,Kharif,Maize,1602,5154
Andhra Pradesh,EAST GODAVARI,2008,Kharif,Rice,240231,716609
Andhra Pradesh,EAST GODAVARI,2008,Rabi,Maize,6581,49107
Andhra Pradesh,EAST GODAVARI,2008,Rabi,Rice,169861,796648
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,Banana,15363,291774
Andhra Pradesh,EAST GODAVARI,2008,Whole Year,Coconut,50214,492936570
Andhra Pradesh,EAST GODAVARI,2009,Kharif,Maize,983,3547
Andhra Pradesh,EAST GODAVARI,2009,Kharif,Rice,202153,616567
Andhra Pradesh,EAST GODAVARI,2009,Rabi,Maize,8005,59821
Andhra Pradesh,EAST GODAVARI,2009,Rabi,Rice,104423,456537
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,Banana,16159,354092
Andhra Pradesh,EAST GODAVARI,2009,Whole Year,Coconut,50247,527381820
Andhra Pradesh,EAST GODAVARI,2010,Kharif,Maize,469,1399
Andhra Pradesh,EAST GODAVARI,2010,Kharif,Rice,237640,457704
Andhra Pradesh,EAST GODAVARI,2010,Rabi,Maize,7463,54704
